"Calendar year","6-monthly","Cause of injury = traffic","First Nations status","Category Type","Category Value","Hospitalisations","Bed days excluding died in hospitals within 30 days"
2013,"Jan-Jun","Traffic","First Nations people","Age group","40-64",13,"32"
2013,"Jan-Jun","Traffic","Non-Indigenous","Age group","65+",7495,"29638"
2014,"Jan-Jun","Traffic","Non-Indigenous","Age group","0-7",3655,"17235"
2014,"Jan-Jun","Traffic","Non-Indigenous","Age group","8-16",3020,"8615"
2014,"Jan-Jun","Traffic","Non-Indigenous","Age group","17-25",1170,"7487"
2014,"Jan-Jun","Traffic","Non-Indigenous","Age group","26-39",0,"0"
2014,"Jan-Jun","Traffic","Non-Indigenous","Age group","40-64",113,"662"
2014,"Jan-Jun","Traffic","Non-Indigenous","Age group","65+",0,"0"
2014,"Jan-Jun","Traffic","Non-Indigenous","Age group","0-7",238,"976"
2014,"Jul-Dec","Traffic","First Nations people","Age group","8-16",401,"2154"
2014,"Jul-Dec","Traffic","First Nations people","Age group","17-25",141,"762"
2014,"Jul-Dec","Traffic","First Nations people","Age group","26-39",81,"171"
2014,"Jul-Dec","Traffic","First Nations people","Age group","40-64",76,"697"
2014,"Jul-Dec","Traffic","First Nations people","Age group","65+",10,"29"
2014,"Jul-Dec","Traffic","First Nations people","Age group","0-7",0,"0"
2014,"Jul-Dec","Traffic","First Nations people","Age group","8-16",0,"0"
2014,"Jul-Dec","Traffic","First Nations people","Age group","17-25",12,"62"
2014,"Jul-Dec","Traffic","Non-Indigenous","Age group","26-39",7944,"29950"
2014,"Jul-Dec","Traffic","Non-Indigenous","Age group","40-64",3962,"17868"
2014,"Jul-Dec","Traffic","Non-Indigenous","Age group","65+",2965,"7929"
2014,"Jul-Dec","Traffic","Non-Indigenous","Age group","0-7",1239,"8720"
2014,"Jul-Dec","Traffic","Non-Indigenous","Age group","8-16",243,"1150"
2014,"Jul-Dec","Traffic","Non-Indigenous","Age group","17-25",0,"0"
2014,"Jul-Dec","Traffic","Non-Indigenous","Age group","26-39",0,"0"
2014,"Jul-Dec","Traffic","Non-Indigenous","Age group","40-64",266,"1401"
2014,"Jan-Jun","Traffic","First Nations people","Age group","65+",374,"1893"
2015,"Jan-Jun","Traffic","First Nations people","Age group","0-7",137,"662"
2015,"Jan-Jun","Traffic","First Nations people","Age group","8-16",95,"322"
2015,"Jan-Jun","Traffic","First Nations people","Age group","17-25",87,"744"
2015,"Jan-Jun","Traffic","First Nations people","Age group","26-39",8,"80"
2015,"Jan-Jun","Traffic","First Nations people","Age group","40-64",0,"0"
2015,"Jan-Jun","Traffic","First Nations people","Age group","65+",0,"0"
2015,"Jan-Jun","Traffic","First Nations people","Age group","0-7",22,"37"
2015,"Jan-Jun","Traffic","Non-Indigenous","Age group","8-16",7524,"29267"
2015,"Jan-Jun","Traffic","Non-Indigenous","Age group","17-25",3950,"16669"
2015,"Jan-Jun","Traffic","Non-Indigenous","Age group","26-39",3272,"8859"
2015,"Jan-Jun","Traffic","Non-Indigenous","Age group","40-64",1136,"8175"
2015,"Jan-Jun","Traffic","Non-Indigenous","Age group","65+",213,"1167"
2015,"Jan-Jun","Traffic","Non-Indigenous","Age group","0-7",0,"0"
2015,"Jan-Jun","Traffic","Non-Indigenous","Age group","8-16",0,"0"
2015,"Jan-Jun","Traffic","Non-Indigenous","Age group","17-25",219,"1009"
2015,"Jul-Dec","Traffic","First Nations people","Age group","26-39",385,"2217"
2015,"Jul-Dec","Traffic","First Nations people","Age group","40-64",117,"589"
2015,"Jul-Dec","Traffic","First Nations people","Age group","65+",82,"256"
2015,"Jul-Dec","Traffic","First Nations people","Age group","0-7",109,"745"
2015,"Jul-Dec","Traffic","First Nations people","Age group","8-16",7,"88"
2015,"Jul-Dec","Traffic","First Nations people","Age group","17-25",0,"0"
2015,"Jul-Dec","Traffic","First Nations people","Age group","26-39",0,"0"
2015,"Jul-Dec","Traffic","First Nations people","Age group","40-64",16,"36"
2015,"Jul-Dec","Traffic","Non-Indigenous","Age group","65+",7839,"29583"
2016,"Jul-Dec","Traffic","Non-Indigenous","Age group","0-7",3969,"17490"
2016,"Jul-Dec","Traffic","Non-Indigenous","Age group","8-16",3082,"7654"
2016,"Jul-Dec","Traffic","Non-Indigenous","Age group","17-25",1180,"7792"
2016,"Jul-Dec","Traffic","Non-Indigenous","Age group","26-39",236,"1190"
2016,"Jul-Dec","Traffic","Non-Indigenous","Age group","40-64",0,"0"
2016,"Jul-Dec","Traffic","Non-Indigenous","Age group","65+",0,"0"
2016,"Jul-Dec","Traffic","Non-Indigenous","Age group","0-7",239,"741"
2016,"Jan-Jun","Traffic","First Nations people","Age group","8-16",392,"1611"
2016,"Jan-Jun","Traffic","First Nations people","Age group","17-25",129,"462"
2016,"Jan-Jun","Traffic","First Nations people","Age group","26-39",87,"220"
2016,"Jan-Jun","Traffic","First Nations people","Age group","40-64",115,"663"
2016,"Jan-Jun","Traffic","First Nations people","Age group","65+",6,"51"
2016,"Jan-Jun","Traffic","First Nations people","Age group","0-7",0,"0"
2016,"Jan-Jun","Traffic","First Nations people","Age group","8-16",0,"0"
2016,"Jan-Jun","Traffic","First Nations people","Age group","17-25",11,"63"
2016,"Jan-Jun","Traffic","Non-Indigenous","Age group","26-39",8189,"31164"
2016,"Jan-Jun","Traffic","Non-Indigenous","Age group","40-64",3935,"16755"
2016,"Jan-Jun","Traffic","Non-Indigenous","Age group","65+",3349,"8079"
2016,"Jan-Jun","Traffic","Non-Indigenous","Age group","0-7",1155,"6242"
2016,"Jan-Jun","Traffic","Non-Indigenous","Age group","8-16",228,"1039"
2016,"Jan-Jun","Traffic","Non-Indigenous","Age group","17-25",0,"0"
2016,"Jan-Jun","Traffic","Non-Indigenous","Age group","26-39",0,"0"
2016,"Jan-Jun","Traffic","Non-Indigenous","Age group","40-64",203,"922"
2016,"Jul-Dec","Traffic","First Nations people","Age group","65+",491,"2393"
2017,"Jul-Dec","Traffic","First Nations people","Age group","0-7",144,"828"
2017,"Jul-Dec","Traffic","First Nations people","Age group","8-16",90,"204"
2017,"Jul-Dec","Traffic","First Nations people","Age group","17-25",91,"838"
2017,"Jul-Dec","Traffic","First Nations people","Age group","26-39",9,"44"
2017,"Jul-Dec","Traffic","First Nations people","Age group","40-64",6,"38"
2017,"Jul-Dec","Traffic","First Nations people","Age group","65+",6,"78"
2017,"Jul-Dec","Traffic","First Nations people","Age group","0-7",17,"94"
2017,"Jul-Dec","Traffic","Non-Indigenous","Age group","8-16",8503,"50416"
2017,"Jul-Dec","Traffic","Non-Indigenous","Age group","17-25",3920,"25566"
2017,"Jul-Dec","Traffic","Non-Indigenous","Age group","26-39",3086,"9934"
2017,"Jul-Dec","Traffic","Non-Indigenous","Age group","40-64",1223,"14306"
2017,"Jul-Dec","Traffic","Non-Indigenous","Age group","65+",251,"1728"
2017,"Jul-Dec","Traffic","Non-Indigenous","Age group","0-7",107,"784"
2017,"Jul-Dec","Traffic","Non-Indigenous","Age group","8-16",129,"703"
2017,"Jul-Dec","Traffic","Non-Indigenous","Age group","17-25",261,"1426"
2017,"Jan-Jun","Traffic","First Nations people","Age group","26-39",434,"2596"
2017,"Jan-Jun","Traffic","First Nations people","Age group","40-64",147,"589"
2017,"Jan-Jun","Traffic","First Nations people","Age group","65+",107,"209"
2017,"Jan-Jun","Traffic","First Nations people","Age group","0-7",90,"670"
2017,"Jan-Jun","Traffic","First Nations people","Age group","8-16",6,"15"
2017,"Jan-Jun","Traffic","First Nations people","Age group","17-25",0,"0"
2017,"Jan-Jun","Traffic","First Nations people","Age group","26-39",0,"0"
2017,"Jan-Jun","Traffic","First Nations people","Age group","40-64",13,"95"
2017,"Jan-Jun","Traffic","Non-Indigenous","Age group","65+",8700,"46124"
2018,"Jan-Jun","Traffic","Non-Indigenous","Age group","0-7",4138,"26094"
2018,"Jan-Jun","Traffic","Non-Indigenous","Age group","8-16",3546,"11666"
2018,"Jan-Jun","Traffic","Non-Indigenous","Age group","17-25",1228,"12848"
2018,"Jan-Jun","Traffic","Non-Indigenous","Age group","26-39",205,"1416"
2018,"Jan-Jun","Traffic","Non-Indigenous","Age group","40-64",0,"0"
2018,"Jan-Jun","Traffic","Non-Indigenous","Age group","65+",0,"0"
2018,"Jan-Jun","Traffic","Non-Indigenous","Age group","0-7",281,"1802"
2018,"Jul-Dec","Traffic","First Nations people","Age group","8-16",494,"2530"
2018,"Jul-Dec","Traffic","First Nations people","Age group","17-25",149,"916"
2018,"Jul-Dec","Traffic","First Nations people","Age group","26-39",83,"180"
2018,"Jul-Dec","Traffic","First Nations people","Age group","40-64",100,"1023"
2018,"Jul-Dec","Traffic","First Nations people","Age group","65+",8,"36"
2018,"Jul-Dec","Traffic","First Nations people","Age group","0-7",5,"7"
