Calendar year,6-monthly,Cause of injury = traffic,First Nations status,Category Type,Category Value,Hospitalisations,Bed days excluding died in hospitals within 30 days
2015,Jul-Dec,Traffic,Non-Indigenous,Age group,40-64,5714,36121
2015,Jul-Dec,Traffic,Non-Indigenous,Age group,65+,2384,25584
2016,Jan-Jun,Traffic,First Nations people,Age group,0-7,42,100
2016,Jan-Jun,Traffic,First Nations people,Age group,8-16,142,457
2016,Jan-Jun,Traffic,First Nations people,Age group,17-25,239,841
2016,Jan-Jun,Traffic,First Nations people,Age group,26-39,201,895
2016,Jan-Jun,Traffic,First Nations people,Age group,40-64,173,1689
2016,Jan-Jun,Traffic,First Nations people,Age group,65+,12,238
2016,Jan-Jun,Traffic,Non-Indigenous,Age group,0-7,314,1017
2016,Jan-Jun,Traffic,Non-Indigenous,Age group,8-16,1155,2935
2016,Jan-Jun,Traffic,Non-Indigenous,Age group,17-25,3949,16911
2016,Jan-Jun,Traffic,Non-Indigenous,Age group,26-39,4426,20803
2016,Jan-Jun,Traffic,Non-Indigenous,Age group,40-64,6049,35337
2016,Jan-Jun,Traffic,Non-Indigenous,Age group,65+,2470,24534
2016,Jul-Dec,Traffic,First Nations people,Age group,0-7,47,136
2016,Jul-Dec,Traffic,First Nations people,Age group,8-16,112,361
2016,Jul-Dec,Traffic,First Nations people,Age group,17-25,262,962
2016,Jul-Dec,Traffic,First Nations people,Age group,26-39,221,1681
2016,Jul-Dec,Traffic,First Nations people,Age group,40-64,201,1529
2016,Jul-Dec,Traffic,First Nations people,Age group,65+,17,83
2016,Jul-Dec,Traffic,Non-Indigenous,Age group,0-7,320,937
2016,Jul-Dec,Traffic,Non-Indigenous,Age group,8-16,1045,2545
2016,Jul-Dec,Traffic,Non-Indigenous,Age group,17-25,3890,17347
2016,Jul-Dec,Traffic,Non-Indigenous,Age group,26-39,4471,21130
2016,Jul-Dec,Traffic,Non-Indigenous,Age group,40-64,6108,36272
2016,Jul-Dec,Traffic,Non-Indigenous,Age group,65+,2487,25325
2017,Jan-Jun,Traffic,First Nations people,Age group,0-7,37,72
2017,Jan-Jun,Traffic,First Nations people,Age group,8-16,125,333
2017,Jan-Jun,Traffic,First Nations people,Age group,17-25,236,790
2017,Jan-Jun,Traffic,First Nations people,Age group,26-39,228,1623
2017,Jan-Jun,Traffic,First Nations people,Age group,40-64,191,1340
2017,Jan-Jun,Traffic,First Nations people,Age group,65+,15,133
2017,Jan-Jun,Traffic,Non-Indigenous,Age group,0-7,314,634
2017,Jan-Jun,Traffic,Non-Indigenous,Age group,8-16,1097,3558
2017,Jan-Jun,Traffic,Non-Indigenous,Age group,17-25,3850,15329
2017,Jan-Jun,Traffic,Non-Indigenous,Age group,26-39,4619,20462
2017,Jan-Jun,Traffic,Non-Indigenous,Age group,40-64,6255,35477
2017,Jan-Jun,Traffic,Non-Indigenous,Age group,65+,2470,23090
2017,Jul-Dec,Traffic,First Nations people,Age group,0-7,44,152
2017,Jul-Dec,Traffic,First Nations people,Age group,8-16,126,517
2017,Jul-Dec,Traffic,First Nations people,Age group,17-25,270,1141
2017,Jul-Dec,Traffic,First Nations people,Age group,26-39,207,1181
2017,Jul-Dec,Traffic,First Nations people,Age group,40-64,227,1293
2017,Jul-Dec,Traffic,First Nations people,Age group,65+,27,223
2017,Jul-Dec,Traffic,Non-Indigenous,Age group,0-7,328,849
2017,Jul-Dec,Traffic,Non-Indigenous,Age group,8-16,1125,2880
2017,Jul-Dec,Traffic,Non-Indigenous,Age group,17-25,4006,16883
2017,Jul-Dec,Traffic,Non-Indigenous,Age group,26-39,4307,19845
2017,Jul-Dec,Traffic,Non-Indigenous,Age group,40-64,6074,32875
2017,Jul-Dec,Traffic,Non-Indigenous,Age group,65+,2585,26172
2018,Jan-Jun,Traffic,First Nations people,Age group,0-7,25,60
2018,Jan-Jun,Traffic,First Nations people,Age group,8-16,130,323
2018,Jan-Jun,Traffic,First Nations people,Age group,17-25,264,1010
2018,Jan-Jun,Traffic,First Nations people,Age group,26-39,267,1618
2018,Jan-Jun,Traffic,First Nations people,Age group,40-64,186,1004
2018,Jan-Jun,Traffic,First Nations people,Age group,65+,22,210
